,name,label
3398,ff1010bird\ff1010bird_wav\wav\not_bird\146847.wav,1
7146,ff1010bird\ff1010bird_wav\wav\not_bird\79562.wav,1
3670,ff1010bird\ff1010bird_wav\wav\not_bird\155204.wav,1
3028,ff1010bird\ff1010bird_wav\wav\not_bird\133084.wav,1
1027,ff1010bird\ff1010bird_wav\wav\bird\193032.wav,0
5329,ff1010bird\ff1010bird_wav\wav\not_bird\30547.wav,1
6479,ff1010bird\ff1010bird_wav\wav\not_bird\63742.wav,1
6715,ff1010bird\ff1010bird_wav\wav\not_bird\69241.wav,1
2282,ff1010bird\ff1010bird_wav\wav\not_bird\113323.wav,1
1899,ff1010bird\ff1010bird_wav\wav\bird\97659.wav,0
4864,ff1010bird\ff1010bird_wav\wav\not_bird\187657.wav,1
1136,ff1010bird\ff1010bird_wav\wav\bird\32261.wav,0
2008,ff1010bird\ff1010bird_wav\wav\not_bird\102852.wav,1
327,ff1010bird\ff1010bird_wav\wav\bird\126157.wav,0
6609,ff1010bird\ff1010bird_wav\wav\not_bird\65993.wav,1
2088,ff1010bird\ff1010bird_wav\wav\not_bird\104804.wav,1
7302,ff1010bird\ff1010bird_wav\wav\not_bird\86750.wav,1
6122,ff1010bird\ff1010bird_wav\wav\not_bird\56362.wav,1
1531,ff1010bird\ff1010bird_wav\wav\bird\63716.wav,0
1638,ff1010bird\ff1010bird_wav\wav\bird\72233.wav,0
5384,ff1010bird\ff1010bird_wav\wav\not_bird\32495.wav,1
575,ff1010bird\ff1010bird_wav\wav\bird\155252.wav,0
5480,ff1010bird\ff1010bird_wav\wav\not_bird\38111.wav,1
913,ff1010bird\ff1010bird_wav\wav\bird\184463.wav,0
3796,ff1010bird\ff1010bird_wav\wav\not_bird\157470.wav,1
6834,ff1010bird\ff1010bird_wav\wav\not_bird\73079.wav,1
4021,ff1010bird\ff1010bird_wav\wav\not_bird\162103.wav,1
2456,ff1010bird\ff1010bird_wav\wav\not_bird\121109.wav,1
5046,ff1010bird\ff1010bird_wav\wav\not_bird\193885.wav,1
3610,ff1010bird\ff1010bird_wav\wav\not_bird\15471.wav,1
2882,ff1010bird\ff1010bird_wav\wav\not_bird\127863.wav,1
388,ff1010bird\ff1010bird_wav\wav\bird\135579.wav,0
1423,ff1010bird\ff1010bird_wav\wav\bird\54802.wav,0
5383,ff1010bird\ff1010bird_wav\wav\not_bird\32494.wav,1
5231,ff1010bird\ff1010bird_wav\wav\not_bird\2528.wav,1
321,ff1010bird\ff1010bird_wav\wav\bird\125423.wav,0
2608,ff1010bird\ff1010bird_wav\wav\not_bird\126036.wav,1
4436,ff1010bird\ff1010bird_wav\wav\not_bird\17134.wav,1
4404,ff1010bird\ff1010bird_wav\wav\not_bird\170796.wav,1
4364,ff1010bird\ff1010bird_wav\wav\not_bird\169926.wav,1
4059,ff1010bird\ff1010bird_wav\wav\not_bird\162693.wav,1
3171,ff1010bird\ff1010bird_wav\wav\not_bird\140350.wav,1
2226,ff1010bird\ff1010bird_wav\wav\not_bird\111004.wav,1
1320,ff1010bird\ff1010bird_wav\wav\bird\49610.wav,0
6150,ff1010bird\ff1010bird_wav\wav\not_bird\56745.wav,1
7470,ff1010bird\ff1010bird_wav\wav\not_bird\91476.wav,1
2552,ff1010bird\ff1010bird_wav\wav\not_bird\124674.wav,1
1736,ff1010bird\ff1010bird_wav\wav\bird\78792.wav,0
6896,ff1010bird\ff1010bird_wav\wav\not_bird\73529.wav,1
3621,ff1010bird\ff1010bird_wav\wav\not_bird\154961.wav,1
2822,ff1010bird\ff1010bird_wav\wav\not_bird\127525.wav,1
3542,ff1010bird\ff1010bird_wav\wav\not_bird\150364.wav,1
1737,ff1010bird\ff1010bird_wav\wav\bird\78795.wav,0
3218,ff1010bird\ff1010bird_wav\wav\not_bird\141167.wav,1
6550,ff1010bird\ff1010bird_wav\wav\not_bird\64485.wav,1
1761,ff1010bird\ff1010bird_wav\wav\bird\80717.wav,0
1226,ff1010bird\ff1010bird_wav\wav\bird\38977.wav,0
4827,ff1010bird\ff1010bird_wav\wav\not_bird\187002.wav,1
700,ff1010bird\ff1010bird_wav\wav\bird\164062.wav,0
4689,ff1010bird\ff1010bird_wav\wav\not_bird\180534.wav,1
1973,ff1010bird\ff1010bird_wav\wav\not_bird\102068.wav,1
3531,ff1010bird\ff1010bird_wav\wav\not_bird\150164.wav,1
1975,ff1010bird\ff1010bird_wav\wav\not_bird\102070.wav,1
2928,ff1010bird\ff1010bird_wav\wav\not_bird\130015.wav,1
1210,ff1010bird\ff1010bird_wav\wav\bird\37911.wav,0
7205,ff1010bird\ff1010bird_wav\wav\not_bird\81209.wav,1
2041,ff1010bird\ff1010bird_wav\wav\not_bird\1042.wav,1
1251,ff1010bird\ff1010bird_wav\wav\bird\40834.wav,0
6515,ff1010bird\ff1010bird_wav\wav\not_bird\64179.wav,1
1130,ff1010bird\ff1010bird_wav\wav\bird\3188.wav,0
5703,ff1010bird\ff1010bird_wav\wav\not_bird\43710.wav,1
2469,ff1010bird\ff1010bird_wav\wav\not_bird\121360.wav,1
7612,ff1010bird\ff1010bird_wav\wav\not_bird\95695.wav,1
277,ff1010bird\ff1010bird_wav\wav\bird\121303.wav,0
3703,ff1010bird\ff1010bird_wav\wav\not_bird\155286.wav,1
3711,ff1010bird\ff1010bird_wav\wav\not_bird\155383.wav,1
1197,ff1010bird\ff1010bird_wav\wav\bird\36597.wav,0
7161,ff1010bird\ff1010bird_wav\wav\not_bird\7991.wav,1
1510,ff1010bird\ff1010bird_wav\wav\bird\59726.wav,0
6278,ff1010bird\ff1010bird_wav\wav\not_bird\58560.wav,1
871,ff1010bird\ff1010bird_wav\wav\bird\180544.wav,0
4609,ff1010bird\ff1010bird_wav\wav\not_bird\177300.wav,1
5815,ff1010bird\ff1010bird_wav\wav\not_bird\46346.wav,1
4839,ff1010bird\ff1010bird_wav\wav\not_bird\187126.wav,1
3428,ff1010bird\ff1010bird_wav\wav\not_bird\147586.wav,1
5467,ff1010bird\ff1010bird_wav\wav\not_bird\370.wav,1
1517,ff1010bird\ff1010bird_wav\wav\bird\60588.wav,0
3701,ff1010bird\ff1010bird_wav\wav\not_bird\155284.wav,1
2097,ff1010bird\ff1010bird_wav\wav\not_bird\105029.wav,1
983,ff1010bird\ff1010bird_wav\wav\bird\189517.wav,0
2490,ff1010bird\ff1010bird_wav\wav\not_bird\121576.wav,1
2671,ff1010bird\ff1010bird_wav\wav\not_bird\12708.wav,1
1573,ff1010bird\ff1010bird_wav\wav\bird\68642.wav,0
7137,ff1010bird\ff1010bird_wav\wav\not_bird\79269.wav,1
1860,ff1010bird\ff1010bird_wav\wav\bird\95546.wav,0
3183,ff1010bird\ff1010bird_wav\wav\not_bird\140792.wav,1
4673,ff1010bird\ff1010bird_wav\wav\not_bird\179738.wav,1
7436,ff1010bird\ff1010bird_wav\wav\not_bird\90358.wav,1
1316,ff1010bird\ff1010bird_wav\wav\bird\49407.wav,0
1161,ff1010bird\ff1010bird_wav\wav\bird\33257.wav,0
7566,ff1010bird\ff1010bird_wav\wav\not_bird\94411.wav,1
4545,ff1010bird\ff1010bird_wav\wav\not_bird\174644.wav,1
5951,ff1010bird\ff1010bird_wav\wav\not_bird\52076.wav,1
671,ff1010bird\ff1010bird_wav\wav\bird\161642.wav,0
2698,ff1010bird\ff1010bird_wav\wav\not_bird\127233.wav,1
3415,ff1010bird\ff1010bird_wav\wav\not_bird\146865.wav,1
5509,ff1010bird\ff1010bird_wav\wav\not_bird\38569.wav,1
2070,ff1010bird\ff1010bird_wav\wav\not_bird\104583.wav,1
6659,ff1010bird\ff1010bird_wav\wav\not_bird\67280.wav,1
4958,ff1010bird\ff1010bird_wav\wav\not_bird\190695.wav,1
2779,ff1010bird\ff1010bird_wav\wav\not_bird\127363.wav,1
3367,ff1010bird\ff1010bird_wav\wav\not_bird\146272.wav,1
2703,ff1010bird\ff1010bird_wav\wav\not_bird\127239.wav,1
5679,ff1010bird\ff1010bird_wav\wav\not_bird\42801.wav,1
1086,ff1010bird\ff1010bird_wav\wav\bird\23771.wav,0
4173,ff1010bird\ff1010bird_wav\wav\not_bird\165281.wav,1
3352,ff1010bird\ff1010bird_wav\wav\not_bird\146196.wav,1
2449,ff1010bird\ff1010bird_wav\wav\not_bird\120482.wav,1
4898,ff1010bird\ff1010bird_wav\wav\not_bird\188471.wav,1
3886,ff1010bird\ff1010bird_wav\wav\not_bird\159166.wav,1
2193,ff1010bird\ff1010bird_wav\wav\not_bird\109374.wav,1
6558,ff1010bird\ff1010bird_wav\wav\not_bird\65247.wav,1
2544,ff1010bird\ff1010bird_wav\wav\not_bird\124492.wav,1
1965,ff1010bird\ff1010bird_wav\wav\not_bird\101418.wav,1
5019,ff1010bird\ff1010bird_wav\wav\not_bird\192297.wav,1
5562,ff1010bird\ff1010bird_wav\wav\not_bird\39659.wav,1
3619,ff1010bird\ff1010bird_wav\wav\not_bird\154913.wav,1
1405,ff1010bird\ff1010bird_wav\wav\bird\54524.wav,0
6944,ff1010bird\ff1010bird_wav\wav\not_bird\75073.wav,1
6673,ff1010bird\ff1010bird_wav\wav\not_bird\68034.wav,1
5560,ff1010bird\ff1010bird_wav\wav\not_bird\39650.wav,1
2236,ff1010bird\ff1010bird_wav\wav\not_bird\111179.wav,1
5106,ff1010bird\ff1010bird_wav\wav\not_bird\20191.wav,1
2833,ff1010bird\ff1010bird_wav\wav\not_bird\127616.wav,1
5023,ff1010bird\ff1010bird_wav\wav\not_bird\192525.wav,1
5787,ff1010bird\ff1010bird_wav\wav\not_bird\45923.wav,1
5777,ff1010bird\ff1010bird_wav\wav\not_bird\45477.wav,1
7006,ff1010bird\ff1010bird_wav\wav\not_bird\76714.wav,1
7562,ff1010bird\ff1010bird_wav\wav\not_bird\94406.wav,1
3425,ff1010bird\ff1010bird_wav\wav\not_bird\147241.wav,1
5312,ff1010bird\ff1010bird_wav\wav\not_bird\29932.wav,1
519,ff1010bird\ff1010bird_wav\wav\bird\151241.wav,0
4535,ff1010bird\ff1010bird_wav\wav\not_bird\174043.wav,1
1165,ff1010bird\ff1010bird_wav\wav\bird\33449.wav,0
6392,ff1010bird\ff1010bird_wav\wav\not_bird\61842.wav,1
1051,ff1010bird\ff1010bird_wav\wav\bird\195310.wav,0
5015,ff1010bird\ff1010bird_wav\wav\not_bird\192190.wav,1
1194,ff1010bird\ff1010bird_wav\wav\bird\36052.wav,0
930,ff1010bird\ff1010bird_wav\wav\bird\186339.wav,0
959,ff1010bird\ff1010bird_wav\wav\bird\188261.wav,0
3997,ff1010bird\ff1010bird_wav\wav\not_bird\161678.wav,1
2005,ff1010bird\ff1010bird_wav\wav\not_bird\102843.wav,1
6207,ff1010bird\ff1010bird_wav\wav\not_bird\57052.wav,1
7496,ff1010bird\ff1010bird_wav\wav\not_bird\91988.wav,1
71,ff1010bird\ff1010bird_wav\wav\bird\104733.wav,0
2558,ff1010bird\ff1010bird_wav\wav\not_bird\124680.wav,1
6032,ff1010bird\ff1010bird_wav\wav\not_bird\54943.wav,1
6328,ff1010bird\ff1010bird_wav\wav\not_bird\60085.wav,1
667,ff1010bird\ff1010bird_wav\wav\bird\160576.wav,0
1143,ff1010bird\ff1010bird_wav\wav\bird\32407.wav,0
4890,ff1010bird\ff1010bird_wav\wav\not_bird\188173.wav,1
4566,ff1010bird\ff1010bird_wav\wav\not_bird\175528.wav,1
1992,ff1010bird\ff1010bird_wav\wav\not_bird\102090.wav,1
596,ff1010bird\ff1010bird_wav\wav\bird\155719.wav,0
3207,ff1010bird\ff1010bird_wav\wav\not_bird\140844.wav,1
6022,ff1010bird\ff1010bird_wav\wav\not_bird\54885.wav,1
5550,ff1010bird\ff1010bird_wav\wav\not_bird\39374.wav,1
7592,ff1010bird\ff1010bird_wav\wav\not_bird\95027.wav,1
6362,ff1010bird\ff1010bird_wav\wav\not_bird\61238.wav,1
1218,ff1010bird\ff1010bird_wav\wav\bird\38396.wav,0
7100,ff1010bird\ff1010bird_wav\wav\not_bird\78788.wav,1
3463,ff1010bird\ff1010bird_wav\wav\not_bird\147945.wav,1
2661,ff1010bird\ff1010bird_wav\wav\not_bird\126856.wav,1
3774,ff1010bird\ff1010bird_wav\wav\not_bird\157240.wav,1
5436,ff1010bird\ff1010bird_wav\wav\not_bird\35057.wav,1
4650,ff1010bird\ff1010bird_wav\wav\not_bird\178857.wav,1
4108,ff1010bird\ff1010bird_wav\wav\not_bird\164165.wav,1
4122,ff1010bird\ff1010bird_wav\wav\not_bird\164184.wav,1
3606,ff1010bird\ff1010bird_wav\wav\not_bird\15464.wav,1
1711,ff1010bird\ff1010bird_wav\wav\bird\76237.wav,0
2429,ff1010bird\ff1010bird_wav\wav\not_bird\118956.wav,1
1042,ff1010bird\ff1010bird_wav\wav\bird\194673.wav,0
5010,ff1010bird\ff1010bird_wav\wav\not_bird\191928.wav,1
1137,ff1010bird\ff1010bird_wav\wav\bird\32262.wav,0
468,ff1010bird\ff1010bird_wav\wav\bird\148213.wav,0
2665,ff1010bird\ff1010bird_wav\wav\not_bird\126866.wav,1
7089,ff1010bird\ff1010bird_wav\wav\not_bird\78559.wav,1
5627,ff1010bird\ff1010bird_wav\wav\not_bird\41300.wav,1
5303,ff1010bird\ff1010bird_wav\wav\not_bird\29522.wav,1
7162,ff1010bird\ff1010bird_wav\wav\not_bird\7993.wav,1
2064,ff1010bird\ff1010bird_wav\wav\not_bird\104542.wav,1
5058,ff1010bird\ff1010bird_wav\wav\not_bird\194490.wav,1
543,ff1010bird\ff1010bird_wav\wav\bird\153501.wav,0
5285,ff1010bird\ff1010bird_wav\wav\not_bird\28166.wav,1
4642,ff1010bird\ff1010bird_wav\wav\not_bird\17860.wav,1
1204,ff1010bird\ff1010bird_wav\wav\bird\377.wav,0
2190,ff1010bird\ff1010bird_wav\wav\not_bird\109371.wav,1
2707,ff1010bird\ff1010bird_wav\wav\not_bird\127245.wav,1
3907,ff1010bird\ff1010bird_wav\wav\not_bird\159512.wav,1
3328,ff1010bird\ff1010bird_wav\wav\not_bird\145523.wav,1
4456,ff1010bird\ff1010bird_wav\wav\not_bird\17156.wav,1
2873,ff1010bird\ff1010bird_wav\wav\not_bird\127802.wav,1
36,ff1010bird\ff1010bird_wav\wav\bird\102724.wav,0
6700,ff1010bird\ff1010bird_wav\wav\not_bird\69091.wav,1
4977,ff1010bird\ff1010bird_wav\wav\not_bird\191287.wav,1
3966,ff1010bird\ff1010bird_wav\wav\not_bird\160582.wav,1
3768,ff1010bird\ff1010bird_wav\wav\not_bird\156946.wav,1
3851,ff1010bird\ff1010bird_wav\wav\not_bird\158434.wav,1
4235,ff1010bird\ff1010bird_wav\wav\not_bird\167091.wav,1
5522,ff1010bird\ff1010bird_wav\wav\not_bird\38643.wav,1
3246,ff1010bird\ff1010bird_wav\wav\not_bird\142335.wav,1
856,ff1010bird\ff1010bird_wav\wav\bird\179504.wav,0
2107,ff1010bird\ff1010bird_wav\wav\not_bird\105274.wav,1
4154,ff1010bird\ff1010bird_wav\wav\not_bird\164939.wav,1
3533,ff1010bird\ff1010bird_wav\wav\not_bird\150166.wav,1
6380,ff1010bird\ff1010bird_wav\wav\not_bird\61631.wav,1
1412,ff1010bird\ff1010bird_wav\wav\bird\54545.wav,0
4131,ff1010bird\ff1010bird_wav\wav\not_bird\164206.wav,1
208,ff1010bird\ff1010bird_wav\wav\bird\113980.wav,0
134,ff1010bird\ff1010bird_wav\wav\bird\110990.wav,0
4029,ff1010bird\ff1010bird_wav\wav\not_bird\162450.wav,1
4160,ff1010bird\ff1010bird_wav\wav\not_bird\165120.wav,1
6591,ff1010bird\ff1010bird_wav\wav\not_bird\65520.wav,1
5823,ff1010bird\ff1010bird_wav\wav\not_bird\46729.wav,1
7002,ff1010bird\ff1010bird_wav\wav\not_bird\76683.wav,1
3116,ff1010bird\ff1010bird_wav\wav\not_bird\13792.wav,1
6880,ff1010bird\ff1010bird_wav\wav\not_bird\73355.wav,1
5983,ff1010bird\ff1010bird_wav\wav\not_bird\53939.wav,1
7256,ff1010bird\ff1010bird_wav\wav\not_bird\83327.wav,1
3437,ff1010bird\ff1010bird_wav\wav\not_bird\147863.wav,1
4742,ff1010bird\ff1010bird_wav\wav\not_bird\184219.wav,1
7319,ff1010bird\ff1010bird_wav\wav\not_bird\86930.wav,1
804,ff1010bird\ff1010bird_wav\wav\bird\173903.wav,0
3812,ff1010bird\ff1010bird_wav\wav\not_bird\157611.wav,1
4124,ff1010bird\ff1010bird_wav\wav\not_bird\164186.wav,1
6234,ff1010bird\ff1010bird_wav\wav\not_bird\58174.wav,1
7128,ff1010bird\ff1010bird_wav\wav\not_bird\79090.wav,1
536,ff1010bird\ff1010bird_wav\wav\bird\152394.wav,0
6171,ff1010bird\ff1010bird_wav\wav\not_bird\56941.wav,1
1833,ff1010bird\ff1010bird_wav\wav\bird\92823.wav,0
2223,ff1010bird\ff1010bird_wav\wav\not_bird\111001.wav,1
622,ff1010bird\ff1010bird_wav\wav\bird\157371.wav,0
2162,ff1010bird\ff1010bird_wav\wav\not_bird\108362.wav,1
4672,ff1010bird\ff1010bird_wav\wav\not_bird\179678.wav,1
492,ff1010bird\ff1010bird_wav\wav\bird\149742.wav,0
1073,ff1010bird\ff1010bird_wav\wav\bird\21601.wav,0
5937,ff1010bird\ff1010bird_wav\wav\not_bird\51493.wav,1
6258,ff1010bird\ff1010bird_wav\wav\not_bird\58387.wav,1
986,ff1010bird\ff1010bird_wav\wav\bird\189852.wav,0
4637,ff1010bird\ff1010bird_wav\wav\not_bird\17854.wav,1
2466,ff1010bird\ff1010bird_wav\wav\not_bird\121355.wav,1
5592,ff1010bird\ff1010bird_wav\wav\not_bird\39979.wav,1
3987,ff1010bird\ff1010bird_wav\wav\not_bird\161605.wav,1
1651,ff1010bird\ff1010bird_wav\wav\bird\72752.wav,0
550,ff1010bird\ff1010bird_wav\wav\bird\15467.wav,0
5996,ff1010bird\ff1010bird_wav\wav\not_bird\54359.wav,1
2951,ff1010bird\ff1010bird_wav\wav\not_bird\130875.wav,1
5280,ff1010bird\ff1010bird_wav\wav\not_bird\27154.wav,1
3381,ff1010bird\ff1010bird_wav\wav\not_bird\146693.wav,1
1792,ff1010bird\ff1010bird_wav\wav\bird\86753.wav,0
1164,ff1010bird\ff1010bird_wav\wav\bird\33446.wav,0
4097,ff1010bird\ff1010bird_wav\wav\not_bird\163463.wav,1
3845,ff1010bird\ff1010bird_wav\wav\not_bird\157911.wav,1
4464,ff1010bird\ff1010bird_wav\wav\not_bird\172314.wav,1
282,ff1010bird\ff1010bird_wav\wav\bird\121550.wav,0
5749,ff1010bird\ff1010bird_wav\wav\not_bird\44277.wav,1
1312,ff1010bird\ff1010bird_wav\wav\bird\49084.wav,0
6815,ff1010bird\ff1010bird_wav\wav\not_bird\72227.wav,1
813,ff1010bird\ff1010bird_wav\wav\bird\17505.wav,0
1352,ff1010bird\ff1010bird_wav\wav\bird\5204.wav,0
3457,ff1010bird\ff1010bird_wav\wav\not_bird\147939.wav,1
3564,ff1010bird\ff1010bird_wav\wav\not_bird\151464.wav,1
2917,ff1010bird\ff1010bird_wav\wav\not_bird\128702.wav,1
3618,ff1010bird\ff1010bird_wav\wav\not_bird\154912.wav,1
1587,ff1010bird\ff1010bird_wav\wav\bird\69108.wav,0
3639,ff1010bird\ff1010bird_wav\wav\not_bird\155118.wav,1
1179,ff1010bird\ff1010bird_wav\wav\bird\34197.wav,0
658,ff1010bird\ff1010bird_wav\wav\bird\160514.wav,0
3535,ff1010bird\ff1010bird_wav\wav\not_bird\150168.wav,1
1482,ff1010bird\ff1010bird_wav\wav\bird\57609.wav,0
1445,ff1010bird\ff1010bird_wav\wav\bird\55117.wav,0
3867,ff1010bird\ff1010bird_wav\wav\not_bird\158605.wav,1
6831,ff1010bird\ff1010bird_wav\wav\not_bird\72839.wav,1
5029,ff1010bird\ff1010bird_wav\wav\not_bird\192681.wav,1
1771,ff1010bird\ff1010bird_wav\wav\bird\81764.wav,0
6646,ff1010bird\ff1010bird_wav\wav\not_bird\66620.wav,1
2367,ff1010bird\ff1010bird_wav\wav\not_bird\11689.wav,1
3383,ff1010bird\ff1010bird_wav\wav\not_bird\146698.wav,1
2935,ff1010bird\ff1010bird_wav\wav\not_bird\130090.wav,1
7418,ff1010bird\ff1010bird_wav\wav\not_bird\90090.wav,1
6050,ff1010bird\ff1010bird_wav\wav\not_bird\55108.wav,1
2098,ff1010bird\ff1010bird_wav\wav\not_bird\105083.wav,1
6879,ff1010bird\ff1010bird_wav\wav\not_bird\73354.wav,1
1206,ff1010bird\ff1010bird_wav\wav\bird\37796.wav,0
7232,ff1010bird\ff1010bird_wav\wav\not_bird\82268.wav,1
6458,ff1010bird\ff1010bird_wav\wav\not_bird\63709.wav,1
1998,ff1010bird\ff1010bird_wav\wav\not_bird\102244.wav,1
2622,ff1010bird\ff1010bird_wav\wav\not_bird\126332.wav,1
3222,ff1010bird\ff1010bird_wav\wav\not_bird\141176.wav,1
3653,ff1010bird\ff1010bird_wav\wav\not_bird\155146.wav,1
6319,ff1010bird\ff1010bird_wav\wav\not_bird\60033.wav,1
4324,ff1010bird\ff1010bird_wav\wav\not_bird\169181.wav,1
339,ff1010bird\ff1010bird_wav\wav\bird\127132.wav,0
2913,ff1010bird\ff1010bird_wav\wav\not_bird\128573.wav,1
3356,ff1010bird\ff1010bird_wav\wav\not_bird\146200.wav,1
5276,ff1010bird\ff1010bird_wav\wav\not_bird\26911.wav,1
3799,ff1010bird\ff1010bird_wav\wav\not_bird\157473.wav,1
1974,ff1010bird\ff1010bird_wav\wav\not_bird\102069.wav,1
3644,ff1010bird\ff1010bird_wav\wav\not_bird\155124.wav,1
512,ff1010bird\ff1010bird_wav\wav\bird\150865.wav,0
7492,ff1010bird\ff1010bird_wav\wav\not_bird\9188.wav,1
7535,ff1010bird\ff1010bird_wav\wav\not_bird\93450.wav,1
1177,ff1010bird\ff1010bird_wav\wav\bird\34195.wav,0
7441,ff1010bird\ff1010bird_wav\wav\not_bird\90406.wav,1
2902,ff1010bird\ff1010bird_wav\wav\not_bird\128093.wav,1
6949,ff1010bird\ff1010bird_wav\wav\not_bird\75099.wav,1
3853,ff1010bird\ff1010bird_wav\wav\not_bird\158439.wav,1
4130,ff1010bird\ff1010bird_wav\wav\not_bird\164205.wav,1
5803,ff1010bird\ff1010bird_wav\wav\not_bird\46226.wav,1
7214,ff1010bird\ff1010bird_wav\wav\not_bird\81466.wav,1
2731,ff1010bird\ff1010bird_wav\wav\not_bird\127280.wav,1
2526,ff1010bird\ff1010bird_wav\wav\not_bird\123399.wav,1
2287,ff1010bird\ff1010bird_wav\wav\not_bird\113328.wav,1
1937,ff1010bird\ff1010bird_wav\wav\not_bird\100271.wav,1
5070,ff1010bird\ff1010bird_wav\wav\not_bird\194868.wav,1
1257,ff1010bird\ff1010bird_wav\wav\bird\42140.wav,0
872,ff1010bird\ff1010bird_wav\wav\bird\180661.wav,0
7417,ff1010bird\ff1010bird_wav\wav\not_bird\90088.wav,1
1351,ff1010bird\ff1010bird_wav\wav\bird\518.wav,0
2414,ff1010bird\ff1010bird_wav\wav\not_bird\118582.wav,1
369,ff1010bird\ff1010bird_wav\wav\bird\131133.wav,0
3414,ff1010bird\ff1010bird_wav\wav\not_bird\146864.wav,1
4550,ff1010bird\ff1010bird_wav\wav\not_bird\174775.wav,1
1621,ff1010bird\ff1010bird_wav\wav\bird\71335.wav,0
2541,ff1010bird\ff1010bird_wav\wav\not_bird\124405.wav,1
4540,ff1010bird\ff1010bird_wav\wav\not_bird\174237.wav,1
